date,counts,total_passenger,total_amount,total_tips,total_dist,avg_dist
2018-05-09,366,630,24130.46,2334.49,6705.84,18.321967213
2018-04-01,252,509,15882.48,1291.75,4701.16,18.655396825
2018-02-11,328,551,20985.34,1922.74,6224.44,18.919270517
2018-11-23,246,445,15629.49,969.86,4512.35,18.268623482
2018-08-26,245,435,15747.45,1483.66,4441.57,18.128857143
2018-05-19,318,627,20195.12,1813.67,6042.27,18.941285266
2018-10-11,373,690,24585.37,2323.67,6834.84,18.274973262
2018-04-02,303,571,19737.89,1700.43,5604.9,18.437171053
2018-10-12,352,670,23020.5,2063.01,6489.92,18.333107345
2018-01-03,281,546,18205.54,1500.75,5109.4,18.118439716
2018-01-21,276,463,18015.74,2096.8,5230.05,18.949456522
2018-08-27,290,553,18999.43,1724.27,5266.71,18.161068966
2018-01-13,466,844,30680.03,3774.39,9014.29,19.30254818
2018-10-22,413,732,27747.3,2921.17,7577.3,18.214663462
2018-01-01,193,344,12170.2,937.25,3538.14,18.237835052
2018-05-31,321,586,20926.25,1812.19,5884.26,18.331028037
2018-12-26,285,602,18274.68,1369.18,5241.4,18.326573427
2018-07-12,300,558,19645.85,1707.39,5555.05,18.455315615
2018-12-05,284,488,18949.04,2041.72,5192.46,18.283309859
2018-11-12,428,710,28639.33,3600.08,7866.23,18.29355814
2018-11-03,220,386,14029.85,1186.54,4043.73,18.380590909
2018-06-11,388,666,26285.43,3049.05,7136.81,18.299512821
2018-08-15,315,615,20497.78,1707.71,5780.3,18.35015873
2018-02-13,246,472,15917.22,1314.33,4476.32,18.122753036
2018-06-21,285,511,18525.44,1656.04,5219.29,18.313298246
2018-08-06,350,713,23085.56,2048.16,6389.25,18.202991453
2018-08-04,269,528,16950.2,1342.64,4985.41,18.464481481
2018-02-03,235,392,15255.98,1511.35,4602.78,19.421012658
2018-05-01,339,588,22365.05,2069.02,6248.27,18.323372434
2018-09-08,289,532,18229.12,1447.02,5388.26,18.64449827
2018-12-06,348,646,23037.78,2227.64,6426.65,18.467385057
2018-05-02,359,629,23735.63,2237.38,6595.52,18.320888889
2018-07-23,392,747,25862.22,2503.66,7148.3,18.189058524
2018-12-27,270,547,17489.21,1357.93,4968.06,18.264926471
2018-08-16,299,615,19225.56,1410.28,5470.91,18.236366667
2018-11-02,409,733,26501.89,2255.63,7440.01,18.146365854
2018-01-23,253,404,16913.88,1823.47,4642.16,18.276220472
2018-03-03,287,1030,36411.2,3036.26,11285.12,19.524429066
2018-09-18,283,493,18686.58,1813.03,5145.41,18.181660777
2018-03-23,300,1148,38488.84,2803.92,11034.64,18.391066667
2018-12-28,265,533,17097.86,1243.6,4911.93,18.535584906
2018-06-01,285,538,18511.57,1597.97,5272.62,18.500421053
2018-04-21,297,501,18665.01,1534.79,5764.15,19.407912458
2018-12-15,221,403,13964.95,1115.56,4055.27,18.349638009
2018-01-14,219,365,14223.85,1591.8,4143.31,18.919223744
2018-11-04,338,569,22193.2,2461.33,6133.49,18.146420118
2018-03-14,281,984,37268.02,3792.22,10323.44,18.36911032
2018-06-12,283,475,18798.39,2103.67,5192,18.346289753
2018-10-02,394,692,26437.69,2702.51,7254.5,18.227386935
2018-09-10,386,635,25800.01,2592.51,7027.95,18.020384615
2018-09-30,311,550,20156.56,2149.05,5691.18,18.299614148
2018-08-08,307,620,20089.21,1743.69,5577.09,18.166416938
2018-02-04,242,421,15803.61,1742.12,4568.06,18.798600823
2018-04-03,339,637,22310.76,2017.56,6219.56,18.239178886
2018-06-22,302,516,19568.35,1559.89,5547.98,18.310165017
2018-07-24,296,561,19484.84,1734.38,5380.29,18.05466443
2018-11-26,322,550,21649.35,2443.39,5872.38,18.180743034
2018-05-21,391,654,26215.34,2940.27,7113.44,18.146530612
2018-11-25,247,401,16099.2,1692.02,4521.41,18.231491935
2018-05-10,392,757,25498.75,1986.36,7210.79,18.348066158
2018-12-07,280,501,18319.83,1787.01,5084.45,18.15875
2018-03-24,256,1028,32004.66,2587.7,10070.2,19.668359375
2018-06-02,257,421,16270.43,1429.83,4774.99,18.579727626
2018-12-16,275,528,17597.44,1630.71,5027.43,18.281563636
2018-03-25,279,1000,35431.54,3256.72,10846.76,19.300284698
2018-01-05,200,353,13074.74,1149.66,3696.11,18.48055
2018-11-13,353,595,23807.69,2709.44,6478.48,18.30079096
2018-09-09,350,635,22720.38,2345.83,6408.17,18.309057143
2018-06-03,288,505,18713.68,1905.44,5395.28,18.604413793
2018-01-04,124,234,8030.47,669.35,2298.65,18.3892
2018-10-23,340,555,22821.81,2298.83,6290.54,18.393391813
2018-01-15,266,457,17350.87,1842.84,4935.48,18.48494382
2018-08-29,233,420,15223.25,1350.83,4237.83,18.110384615
2018-11-05,341,582,22748.17,2445.46,6226.41,18.259266862
2018-08-07,304,561,19666.95,1702.36,5544.43,18.238256579
2018-03-15,383,1452,49531.04,3741.48,14147.88,18.32626943
2018-10-13,305,572,19231.39,1525.34,5603.62,18.37252459
2018-03-06,247,844,33475.66,3836.5,9095.96,18.26497992
2018-04-14,266,526,16709.77,1450.31,5159.79,19.397706767
2018-05-11,352,621,22996.28,1999.54,6490.95,18.336016949
2018-10-01,403,671,27051,2947.54,7377.45,18.261014851
2018-04-22,328,552,20875.24,2056.33,6335.17,19.255835866
2018-02-22,276,529,17945.03,1478.57,5039.98,18.194873646
2018-11-24,230,436,14552.47,1188.62,4215.33,18.327521739
2018-01-25,257,461,16740.35,1463.57,4735.21,18.353527132
2018-01-24,242,395,15882.57,1459.11,4461.52,18.360164609
2018-09-19,313,548,20727.94,1992.92,5689.08,18.175974441
2018-04-04,312,580,20296.75,1554.09,5751.34,18.316369427
2018-06-14,294,557,18971.14,1600.24,5430.12,18.469795918
2018-07-26,315,624,20416.11,1707.43,5757.76,18.220759494
2018-05-04,407,762,26530.04,2213.02,7498.88,18.334669927
2018-10-14,346,598,22423.95,2270.26,6390.56,18.46982659
2018-06-04,393,728,26541.57,3039.37,7184.82,18.235583756
2018-02-06,212,387,14153.98,1554.09,3904.28,18.329953052
2018-02-05,337,565,22507.65,2398.19,6197.24,18.335029586
2018-02-23,247,479,15884.29,1273.69,4527.81,18.331214575
